"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"Pos_vs_Parental","SE","Vav2","chr2","-",0,-0.197
"Pos_vs_Parental","SE","Myo19","chr11","+",3.55642128957178e-12,-0.197
"Pos_vs_Parental","SE","A830019P07Rik","chr19","-",4.17895702909678e-05,0.197
"Pos_vs_Parental","SE","Tcf7l2","chr19","+",0.00635973075347412,-0.197
"Pos_vs_Parental","SE","Nexn","chr3","-",0.00828088297553552,0.197
"Pos_vs_Parental","RI","Galt","chr4","+",8.22285456446966e-10,-0.196
"Pos_vs_Parental","RI","Kank3","chr17","+",0.000515026733105878,-0.196
"Pos_vs_Parental","SE","Asap2","chr12","+",0,-0.196
"Pos_vs_Parental","SE","Exog","chr9","+",0.000177637201726518,-0.196
"Pos_vs_Parental","SE","Slc39a3","chr10","-",0.0241806942551153,0.196
"Pos_vs_Parental","SE","Akap17b","chrX","-",0.0397802453447522,0.196
"Pos_vs_Parental","SE","Cbarp","chr10","-",8.94819663314711e-14,-0.195
"Pos_vs_Parental","SE","Agbl5","chr5","+",2.53532237938914e-13,-0.195
"Pos_vs_Parental","SE","2610307P16Rik","chr13","-",0.00376120389611437,0.195
"Pos_vs_Parental","A5SS","AI480526","chr5","-",0.000231046609705001,-0.194
"Pos_vs_Parental","MXE","Cfap65","chr1","-",0.000123179837771212,0.194
"Pos_vs_Parental","SE","Cetn4","chr3","-",7.27530002715476e-08,-0.194
"Pos_vs_Parental","SE","Fmnl2","chr2","+",5.99961985225646e-05,-0.194
"Pos_vs_Parental","SE","Rnf14","chr18","+",6.58023709806906e-05,-0.194
"Pos_vs_Parental","SE","Pot1a","chr6","-",0.000954664579666743,-0.194
"Pos_vs_Parental","SE","Tmem164","chrX","+",0.00377650410127661,-0.194
"Pos_vs_Parental","SE","Gm12610","chr4","+",0.0358852763179243,0.194
"Pos_vs_Parental","A5SS","Qtrt2","chr16","-",0.0221133566912699,-0.193
"Pos_vs_Parental","MXE","Dcaf5","chr12","-",4.24586193768205e-06,0.193
"Pos_vs_Parental","MXE","Ptpn4","chr1","-",0.00184714229273461,0.193
"Pos_vs_Parental","MXE","Magi1","chr6","-",0.0465031737033878,0.193
"Pos_vs_Parental","RI","Hmgn3","chr9","-",1.11170203140121e-09,-0.193
"Pos_vs_Parental","RI","4933431E20Rik","chr3","-",2.82392212955751e-05,-0.193
"Pos_vs_Parental","RI","Otx1","chr11","-",0.000486441898871423,-0.193
"Pos_vs_Parental","SE","Tra2b","chr16","-",3.13897056497055e-14,-0.193
"Pos_vs_Parental","SE","Naga","chr15","-",9.98763361577042e-13,-0.193
"Pos_vs_Parental","SE","Psd","chr19","-",3.97563052292051e-07,-0.193
"Pos_vs_Parental","SE","Bmf","chr2","-",1.34288923752851e-05,0.193
"Pos_vs_Parental","SE","Pvt1","chr15","+",0.00173356617197294,-0.193
"Pos_vs_Parental","SE","Zfp551","chr7","-",0.00419423930225094,-0.193
"Pos_vs_Parental","SE","Zfp266","chr9","-",0.0284430139944923,0.193
"Pos_vs_Parental","A3SS","Sipa1l3","chr7","-",0.0418869282949199,0.192
"Pos_vs_Parental","RI","Aprt","chr8","-",5.29516722208174e-09,-0.192
"Pos_vs_Parental","RI","Ctc1","chr11","+",0.0197707061075584,0.192
"Pos_vs_Parental","SE","Sapcd1","chr17","-",3.13897056497055e-14,-0.192
"Pos_vs_Parental","SE","Marchf8","chr6","+",3.04326020538484e-10,-0.192
"Pos_vs_Parental","SE","Baz1a","chr12","-",4.40497823044775e-06,0.192
"Pos_vs_Parental","SE","Pcgf6","chr19","-",6.80291273311075e-05,-0.192
"Pos_vs_Parental","SE","Camk2g","chr14","-",0.00104710166071879,0.192
"Pos_vs_Parental","SE","Elavl4","chr4","-",0.00150318155621415,-0.192
"Pos_vs_Parental","SE","Tm2d1","chr4","-",0.00339421123507624,-0.192
"Pos_vs_Parental","SE","Rapsn","chr2","+",0.00970617544764476,0.192
"Pos_vs_Parental","SE","Zbtb18","chr1","+",0.0241584718050419,0.192
"Pos_vs_Parental","A3SS","Depdc5","chr5","+",2.96916896782272e-05,0.191
"Pos_vs_Parental","A3SS","Ppp4r1l-ps","chr2","-",0.001384476012439,-0.191
"Pos_vs_Parental","A5SS","Htra2","chr6","-",0.0217549933741877,-0.191
"Pos_vs_Parental","MXE","Tal1","chr4","+",0.00202620425795954,0.191
"Pos_vs_Parental","RI","Pdzk1ip1","chr4","+",0.0352763840279851,0.191
"Pos_vs_Parental","SE","Erbin","chr13","-",3.30970954966116e-13,-0.191
"Pos_vs_Parental","SE","Chmp3","chr6","+",8.77273641814199e-06,0.191
"Pos_vs_Parental","SE","Chmp3","chr6","+",3.60836098034438e-05,0.191
"Pos_vs_Parental","SE","Atpsckmt","chr15","+",0.000141988828635254,0.191
"Pos_vs_Parental","SE","Inpp4a","chr1","+",0.000597907691344336,0.191
"Pos_vs_Parental","SE","Jpx","chrX","+",0.00361328962545285,0.191
"Pos_vs_Parental","SE","Setdb2","chr14","-",0.00609258478316852,-0.191
"Pos_vs_Parental","SE","Mbp","chr18","+",0.00963814581692018,-0.191
"Pos_vs_Parental","SE","Crtc1","chr8","-",0.0206965126416938,0.191
"Pos_vs_Parental","A3SS","Elf2","chr3","-",1.61996731818523e-12,-0.19
"Pos_vs_Parental","A5SS","Wars1","chr12","-",0.00373735017661656,-0.19
"Pos_vs_Parental","SE","Magi1","chr6","-",1.04092634652486e-11,0.19
"Pos_vs_Parental","SE","Usp1","chr4","+",2.69084701850324e-08,-0.19
"Pos_vs_Parental","SE","Eml5","chr12","-",3.03047940772426e-08,-0.19
"Pos_vs_Parental","SE","Tarbp1","chr8","-",2.10175151268717e-05,0.19
"Pos_vs_Parental","SE","Cacnb3","chr15","+",6.51576728307701e-05,-0.19
"Pos_vs_Parental","SE","Osbpl9","chr4","-",0.0493821313115367,-0.19
"Pos_vs_Parental","A5SS","Setd4","chr16","-",0.00779427780163651,-0.189
"Pos_vs_Parental","MXE","2610307P16Rik","chr13","-",0.00610960006126951,0.189
"Pos_vs_Parental","RI","Irag2","chr6","+",0.0206889084582517,-0.189
"Pos_vs_Parental","SE","2210408F21Rik","chr6","+",3.13897056497055e-14,-0.189
"Pos_vs_Parental","SE","3300005D01Rik","chr17","+",4.52761380502343e-07,-0.189
"Pos_vs_Parental","SE","Dennd1b","chr1","+",0.00243685758259785,0.189
"Pos_vs_Parental","MXE","Sh3glb1","chr3","-",0,0.188
"Pos_vs_Parental","RI","Uqcc1","chr2","-",0.00393538248416648,-0.188
"Pos_vs_Parental","SE","Picalm","chr7","+",1.78979631253235e-11,-0.188
"Pos_vs_Parental","SE","Togaram2","chr17","+",1.42790946565984e-06,0.188
"Pos_vs_Parental","SE","Mef2a","chr7","-",3.82827506342898e-06,-0.188
"Pos_vs_Parental","A3SS","Myl6","chr10","-",0.00058728066335318,-0.187
"Pos_vs_Parental","A3SS","Dedd2","chr7","-",0.00170984854663146,-0.187
"Pos_vs_Parental","A3SS","Hdac10","chr15","-",0.00295950529866826,-0.187
"Pos_vs_Parental","MXE","Sfmbt2","chr2","+",2.24852500255498e-10,-0.187
"Pos_vs_Parental","MXE","Crnde","chr8","-",0.00365608520096297,0.187
"Pos_vs_Parental","RI","Cacnb3","chr15","+",3.466711362421e-10,-0.187
"Pos_vs_Parental","RI","Ift172","chr5","-",2.65390320142831e-09,-0.187
"Pos_vs_Parental","RI","Atg16l2","chr7","-",1.22679096818447e-05,-0.187
"Pos_vs_Parental","RI","Clk3","chr9","-",0.000241058741324915,-0.187
"Pos_vs_Parental","SE","Msantd2","chr9","+",3.20736397438526e-06,0.187
"Pos_vs_Parental","SE","Cdyl","chr13","+",0.000250423747500242,-0.187
"Pos_vs_Parental","SE","Lcorl","chr5","-",0.000585037847133534,0.187
"Pos_vs_Parental","SE","Slfn3","chr11","+",0.000871452460822902,-0.187
"Pos_vs_Parental","SE","Lcor","chr19","+",0.00443076990762749,0.187
"Pos_vs_Parental","SE","Fbxw10","chr11","+",0.00595257448067193,0.187
"Pos_vs_Parental","SE","Rrnad1","chr3","-",0.0361354766675684,-0.187
"Pos_vs_Parental","A3SS","Cpsf4","chr5","+",1.73846492756891e-12,-0.186
"Pos_vs_Parental","A3SS","Kif1b","chr4","-",2.98946904568692e-06,-0.186
"Pos_vs_Parental","A5SS","Ccdc15","chr9","-",0.0418290725453011,-0.186
"Pos_vs_Parental","SE","Clk4","chr11","+",3.13897056497055e-14,0.186
"Pos_vs_Parental","SE","Ubr4","chr4","+",3.12276035875552e-11,-0.186
"Pos_vs_Parental","SE","Cd47","chr16","+",7.70420377242862e-05,-0.186
"Pos_vs_Parental","SE","Dmpk","chr7","+",0.000116923917166716,-0.186
"Pos_vs_Parental","SE","Prmt3","chr7","+",0.000158285060328964,-0.186
"Pos_vs_Parental","SE","Kctd20","chr17","+",0.000310698993278985,0.186
"Pos_vs_Parental","SE","A930005H10Rik","chr3","-",0.000386585561821579,0.186
"Pos_vs_Parental","SE","Exoc1","chr5","+",0.00143974915000025,0.186
"Pos_vs_Parental","SE","Msantd2","chr9","+",0.00237585115843485,-0.186
"Pos_vs_Parental","SE","Mroh1","chr15","+",0.0106158028063893,-0.186
"Pos_vs_Parental","SE","Ikzf4","chr10","-",0.0317159376809196,-0.186
"Pos_vs_Parental","SE","Fign","chr2","-",0.0479604089986477,0.186
"Pos_vs_Parental","A5SS","Nktr","chr9","+",0.00289360269336,-0.185
"Pos_vs_Parental","RI","Fbxw9","chr8","+",0.000809322591844517,0.185
"Pos_vs_Parental","SE","Mapt","chr11","+",1.64831506946985e-06,0.185
"Pos_vs_Parental","SE","Snph","chr2","-",0.00283769055399437,-0.185
"Pos_vs_Parental","SE","Usp40","chr1","-",0.0106392751206176,0.185
"Pos_vs_Parental","SE","Carns1","chr19","-",0.0411710677011618,0.185
"Pos_vs_Parental","MXE","Kdm6a","chrX","+",2.24472145048661e-05,-0.184
"Pos_vs_Parental","SE","Tbc1d19","chr5","+",0,-0.184
"Pos_vs_Parental","SE","Mink1","chr11","+",0,-0.184
"Pos_vs_Parental","SE","Hnrnpdl","chr5","-",5.3213515628146e-10,-0.184
"Pos_vs_Parental","SE","Tafazzin","chrX","+",2.0346835167399e-08,-0.184
"Pos_vs_Parental","SE","Zfp661","chr2","-",3.81143746070178e-07,-0.184
"Pos_vs_Parental","SE","Usp1","chr4","+",0.000120011121853119,-0.184
"Pos_vs_Parental","SE","Gm11457","chr2","-",0.0070340135132605,0.184
"Pos_vs_Parental","SE","Pex2","chr3","-",0.0191621827079919,0.184
"Pos_vs_Parental","SE","Pdss2","chr10","+",0.0261295206872683,0.184
"Pos_vs_Parental","A3SS","Plekhg2","chr7","-",1.88753609965424e-05,-0.183
"Pos_vs_Parental","A3SS","Ttc14","chr3","+",0.000112639655519061,0.183
"Pos_vs_Parental","A3SS","Smpd4","chr16","+",0.000815971492033321,-0.183
"Pos_vs_Parental","A5SS","Mical1","chr10","+",0.000185758653307828,-0.183
"Pos_vs_Parental","A5SS","Macir","chr1","-",0.0170534351365258,-0.183
"Pos_vs_Parental","MXE","Racgap1","chr15","-",3.14151283519687e-08,0.183
"Pos_vs_Parental","RI","Tial1","chr7","-",0,-0.183
"Pos_vs_Parental","RI","Coq6","chr12","+",0.000198293347477234,-0.183
"Pos_vs_Parental","SE","Exoc7","chr11","-",0,0.183
"Pos_vs_Parental","SE","Kif2a","chr13","-",6.10355387630414e-14,-0.183
"Pos_vs_Parental","SE","Polg","chr7","-",3.15292798758189e-09,-0.183
"Pos_vs_Parental","SE","Kif15","chr9","+",5.18070590168143e-06,0.183
"Pos_vs_Parental","SE","Ppp4r1l-ps","chr2","-",5.47437373926235e-05,-0.183
"Pos_vs_Parental","SE","Huwe1","chrX","+",0.00141797295325857,0.183
"Pos_vs_Parental","SE","Cpeb2","chr5","+",0.00186829026355821,-0.183
"Pos_vs_Parental","SE","Hdnr","chr8","+",0.00190596476088572,0.183
"Pos_vs_Parental","SE","Ccdc84","chr9","-",0.00388349795913895,-0.183
"Pos_vs_Parental","A3SS","Gnl3l","chrX","-",0.0345933823558136,-0.182
"Pos_vs_Parental","MXE","Amotl1","chr9","-",0.0344976151536776,0.182
"Pos_vs_Parental","RI","Dbn1","chr13","-",0.000213145988040138,-0.182
"Pos_vs_Parental","SE","Dlg4","chr11","+",0,-0.182
"Pos_vs_Parental","SE","Ubr2","chr17","-",9.87495909085995e-09,-0.182
"Pos_vs_Parental","SE","Dedd","chr1","+",1.08672095467285e-06,0.182
"Pos_vs_Parental","SE","Gria2","chr3","-",1.68157406719123e-06,-0.182
"Pos_vs_Parental","SE","Zfp638","chr6","+",7.13418326664609e-05,0.182
"Pos_vs_Parental","SE","Nxpe4","chr9","+",0.000122573363335157,0.182
"Pos_vs_Parental","SE","Gtpbp3","chr8","+",0.00144016713760279,-0.182
"Pos_vs_Parental","SE","Srek1","chr13","-",0.00352026365548458,0.182
"Pos_vs_Parental","SE","Ext2","chr2","-",0.0353969139533125,0.182
"Pos_vs_Parental","A5SS","Madd","chr2","-",1.99055966154638e-09,0.181
"Pos_vs_Parental","MXE","Pomgnt2","chr9","-",0.0380442548415803,0.181
"Pos_vs_Parental","SE","9330188P03Rik","chr14","+",3.57095885322136e-06,-0.181
"Pos_vs_Parental","SE","Nfat5","chr8","+",5.01560445755399e-05,0.181
"Pos_vs_Parental","SE","Cfap20dc","chr14","+",0.000148485998014432,-0.181
"Pos_vs_Parental","SE","Uprt","chrX","+",0.00043168820308956,-0.181
"Pos_vs_Parental","SE","Pla2g5","chr4","-",0.00692585064621814,-0.181
"Pos_vs_Parental","SE","Snph","chr2","-",0.0168566062221692,-0.181
"Pos_vs_Parental","A3SS","Gm20544","chr18","-",0.0091478297795743,-0.18
"Pos_vs_Parental","A5SS","Zfat","chr15","-",0.00376867622798115,-0.18
"Pos_vs_Parental","MXE","Vps33b","chr7","+",0.033294226137518,0.18
"Pos_vs_Parental","RI","Capn15","chr17","-",1.60824386925722e-07,-0.18
"Pos_vs_Parental","RI","2210408F21Rik","chr6","+",1.15876652124829e-06,-0.18
"Pos_vs_Parental","RI","Shroom1","chr11","+",0.0036842219913726,-0.18
"Pos_vs_Parental","SE","Max","chr12","-",6.74755089948493e-13,0.18
"Pos_vs_Parental","SE","Mrpl33","chr5","+",0.00149041629724644,0.18
"Pos_vs_Parental","SE","4933431E20Rik","chr3","-",0.00185878858143873,0.18
"Pos_vs_Parental","SE","Zfp532","chr18","+",0.00352533119084938,-0.18
"Pos_vs_Parental","A5SS","Pear1","chr3","-",0.0179661427572965,-0.179
"Pos_vs_Parental","MXE","Btbd19","chr4","-",0.00399123631696732,0.179
"Pos_vs_Parental","RI","Pcyt2","chr11","-",2.3922226207131e-12,-0.179
"Pos_vs_Parental","RI","Nckap1l","chr15","+",1.28503709382973e-09,-0.179
"Pos_vs_Parental","RI","Ppp1r16a","chr15","+",0.00393498522428202,-0.179
"Pos_vs_Parental","SE","Pogk","chr1","-",0,-0.179
"Pos_vs_Parental","SE","L1cam","chrX","-",0,-0.179
"Pos_vs_Parental","SE","Sgce","chr6","-",8.11689905495828e-11,-0.179
"Pos_vs_Parental","SE","Zc3h4","chr7","+",9.45733713744004e-05,-0.179
"Pos_vs_Parental","SE","Hars2","chr18","+",0.000544633605833699,-0.179
"Pos_vs_Parental","SE","Nudt13","chr14","+",0.00785669920252067,0.179
"Pos_vs_Parental","A3SS","Hexdc","chr11","+",2.77562641339823e-05,-0.178
"Pos_vs_Parental","A3SS","Rpl22l1","chr3","+",0.00600900282303691,-0.178
"Pos_vs_Parental","A5SS","Traf7","chr17","-",0.0207184334336191,0.178
"Pos_vs_Parental","MXE","Arsg","chr11","+",0.000260291157947316,-0.178
"Pos_vs_Parental","RI","Tnfaip2","chr12","+",7.49257584789706e-06,-0.178
"Pos_vs_Parental","RI","Six3os1","chr17","-",0.0123827122753093,0.178
"Pos_vs_Parental","RI","Cinp","chr12","-",0.0315173573192066,-0.178
"Pos_vs_Parental","SE","Cep89","chr7","+",0,-0.178
"Pos_vs_Parental","SE","Dguok","chr6","-",5.57430611737552e-12,-0.178
"Pos_vs_Parental","SE","Zc3h14","chr12","+",2.02563515622433e-10,-0.178
"Pos_vs_Parental","SE","Fam204a","chr19","-",2.17768155001628e-08,-0.178
"Pos_vs_Parental","SE","Hycc1","chr5","-",2.31303144846181e-08,-0.178
"Pos_vs_Parental","SE","Paox","chr7","+",1.08239753962838e-07,-0.178
"Pos_vs_Parental","SE","Sec16b","chr1","+",2.59957342057324e-07,-0.178
"Pos_vs_Parental","SE","Kcnc3","chr7","+",1.82748512603246e-06,0.178
"Pos_vs_Parental","SE","Mettl27","chr5","+",0.00156266238764758,0.178
"Pos_vs_Parental","SE","Ythdc2","chr18","+",0.00204099113063072,-0.178
"Pos_vs_Parental","SE","1500004A13Rik","chr3","-",0.0293048937244689,0.178
"Pos_vs_Parental","SE","2610307P16Rik","chr13","-",0.0451411011337446,0.178
"Pos_vs_Parental","A3SS","Dync2h1","chr9","-",0.000670295833671365,0.177
"Pos_vs_Parental","A3SS","Adgrl2","chr3","-",0.0012567052559445,-0.177
"Pos_vs_Parental","A5SS","Zfp780b","chr7","-",0.0164610295103093,0.177
"Pos_vs_Parental","MXE","Tmem25","chr9","-",0.00250335434340415,0.177
"Pos_vs_Parental","SE","Polh","chr17","-",4.42377117596674e-11,-0.177
"Pos_vs_Parental","SE","Magohb","chr6","-",4.41519431700538e-06,-0.177
"Pos_vs_Parental","SE","Pla2g2e","chr4","+",9.6637535036257e-06,0.177
"Pos_vs_Parental","SE","Tnfsf13b","chr8","+",0.000166593777625775,-0.177
"Pos_vs_Parental","SE","Zfp78","chr7","+",0.00039825226049497,-0.177
"Pos_vs_Parental","SE","Cfap65","chr1","-",0.000630664384618119,-0.177
"Pos_vs_Parental","SE","Zbtb49","chr5","-",0.00435737120175889,0.177
"Pos_vs_Parental","SE","Extl3","chr14","-",0.00569017633956203,-0.177
"Pos_vs_Parental","SE","Gm12610","chr4","+",0.0296434974955646,-0.177
"Pos_vs_Parental","A3SS","9030025P20Rik","chr17","+",0.000112639655519061,-0.176
"Pos_vs_Parental","RI","Clk1","chr1","-",0,0.176
"Pos_vs_Parental","RI","Rbis","chr3","-",1.39073553377392e-06,-0.176
"Pos_vs_Parental","RI","Cope","chr8","+",5.66752495785945e-06,-0.176
"Pos_vs_Parental","SE","Evl","chr12","+",0,-0.176
"Pos_vs_Parental","SE","Crybg2","chr4","+",2.67536117641584e-07,-0.176
"Pos_vs_Parental","SE","Morrbid","chr2","-",0.000418863049318098,0.176
"Pos_vs_Parental","SE","Gm12610","chr4","+",0.0129005630599967,-0.176
"Pos_vs_Parental","SE","2210408F21Rik","chr6","+",0.0414415978839817,0.176
"Pos_vs_Parental","SE","Ppip5k1","chr2","-",0.0459003690023199,0.176
"Pos_vs_Parental","A5SS","Atg16l2","chr7","-",8.36906727409786e-07,-0.175
"Pos_vs_Parental","MXE","Luc7l2","chr6","+",0.00324100534437411,-0.175
"Pos_vs_Parental","RI","Dab2ip","chr2","+",0,-0.175
"Pos_vs_Parental","SE","Tra2b","chr16","-",0,-0.175
"Pos_vs_Parental","SE","Htra2","chr6","-",1.28323871904668e-11,-0.175
"Pos_vs_Parental","SE","Gm14410","chr2","-",9.93360572399641e-06,0.175
"Pos_vs_Parental","SE","Dzip1","chr14","-",0.000284530970902436,-0.175
"Pos_vs_Parental","SE","Ncapg2","chr12","+",0.000863564462173316,-0.175
"Pos_vs_Parental","SE","Ccdc38","chr10","+",0.0230912600130668,-0.175
"Pos_vs_Parental","SE","Cinp","chr12","-",0.045925922029718,0.175
"Pos_vs_Parental","A3SS","Fblim1","chr4","-",0.000768725898129104,0.174
"Pos_vs_Parental","A3SS","Kcp","chr6","-",0.00734983554224278,-0.174
"Pos_vs_Parental","A5SS","Capn15","chr17","-",1.38875525816254e-06,-0.174
"Pos_vs_Parental","MXE","Synj1","chr16","-",0.00238027208711514,0.174
"Pos_vs_Parental","RI","Clk2","chr3","+",1.96963926649889e-12,-0.174
"Pos_vs_Parental","RI","Naa80","chr9","+",1.84239085200602e-06,0.174
"Pos_vs_Parental","SE","Jag2","chr12","-",0,-0.174
"Pos_vs_Parental","SE","Mtf2","chr5","+",3.05742976804348e-10,-0.174
"Pos_vs_Parental","SE","Dmtn","chr14","-",0.000809400786567631,-0.174
"Pos_vs_Parental","SE","Msantd2","chr9","+",0.00865290946112223,-0.174
"Pos_vs_Parental","SE","Tor1aip2","chr1","+",0.0105999843344019,0.174
"Pos_vs_Parental","SE","Catsper2","chr2","-",0.0389427118370901,-0.174
"Pos_vs_Parental","A3SS","Cstf2","chrX","+",1.65183223630362e-08,0.173
"Pos_vs_Parental","A3SS","Gm16793","chr8","-",0.0224525291774357,-0.173
"Pos_vs_Parental","A5SS","Mocs2","chr13","+",5.19090943069111e-14,-0.173
"Pos_vs_Parental","A5SS","Cdan1","chr2","-",0.000660721237848338,0.173
"Pos_vs_Parental","MXE","Strada","chr11","-",1.11932780992581e-06,0.173
"Pos_vs_Parental","MXE","Dennd1b","chr1","+",0.0376809775740377,0.173
"Pos_vs_Parental","RI","Syvn1","chr19","+",0,-0.173
"Pos_vs_Parental","RI","Tubgcp4","chr2","+",5.7324035542408e-06,-0.173
"Pos_vs_Parental","RI","Abcd4","chr12","-",0.00572042737498982,-0.173
"Pos_vs_Parental","SE","Rnf146","chr10","-",1.17645427431397e-07,0.173
"Pos_vs_Parental","SE","Sppl2a","chr2","-",1.47624350126566e-07,-0.173
"Pos_vs_Parental","SE","Arhgap39","chr15","-",1.34385251940532e-05,0.173
"Pos_vs_Parental","SE","Usp34","chr11","+",0.000552996805676707,-0.173
"Pos_vs_Parental","SE","Ggcx","chr6","+",0.00172934809568176,-0.173
"Pos_vs_Parental","SE","Sfi1","chr11","-",0.00186505085900049,0.173
"Pos_vs_Parental","SE","Gm13544","chr2","+",0.00377438542483703,-0.173
"Pos_vs_Parental","SE","Rtel1","chr2","+",0.00386516852811757,-0.173
"Pos_vs_Parental","SE","Septin2","chr1","+",0.0178554023221596,-0.173
"Pos_vs_Parental","A3SS","Zfp40","chr17","-",0.0304112598266301,-0.172
"Pos_vs_Parental","A5SS","2700097O09Rik","chr12","-",0.029414368326841,-0.172
"Pos_vs_Parental","RI","Rpl31","chr1","+",9.151653793755e-14,0.172
"Pos_vs_Parental","SE","Zmym3","chrX","-",0,-0.172
"Pos_vs_Parental","SE","Pigq","chr17","-",8.23979773301535e-12,-0.172
"Pos_vs_Parental","SE","Epb41l3","chr17","+",1.95935312963809e-11,-0.172
"Pos_vs_Parental","SE","Tmem164","chrX","+",2.09840976943471e-08,0.172
"Pos_vs_Parental","SE","Cald1","chr6","+",2.09120420329674e-07,-0.172
"Pos_vs_Parental","SE","Strada","chr11","-",3.707656846415e-07,-0.172
"Pos_vs_Parental","SE","Ncoa5","chr2","-",0.000334370287785092,0.172
"Pos_vs_Parental","SE","Plekha6","chr1","+",0.0122934561721616,0.172
"Pos_vs_Parental","SE","Mvb12a","chr8","+",0.0140563152521324,-0.172
"Pos_vs_Parental","SE","Tulp2","chr7","+",0.0170533348024479,-0.172
"Pos_vs_Parental","SE","Vwa5b2","chr16","+",0.0287741506516248,-0.172
"Pos_vs_Parental","A3SS","Apbb1","chr7","-",0,-0.171
"Pos_vs_Parental","A3SS","Sema6d","chr2","+",0.000335248737922367,-0.171
"Pos_vs_Parental","A3SS","Rad54b","chr4","+",0.000931080600202322,-0.171
"Pos_vs_Parental","A5SS","Fmnl2","chr2","+",0,-0.171
"Pos_vs_Parental","MXE","Hdac10","chr15","-",8.57216152468075e-08,-0.171
"Pos_vs_Parental","SE","Ttc28","chr5","+",1.41001846941626e-05,-0.171
"Pos_vs_Parental","SE","Ppfia1","chr7","-",8.62476499492149e-05,0.171
"Pos_vs_Parental","SE","Vti1a","chr19","+",0.000231369095081125,0.171
"Pos_vs_Parental","SE","Arpp21","chr9","-",0.000599150887904193,-0.171
"Pos_vs_Parental","SE","Gm14444","chr2","+",0.00122979553870362,0.171
"Pos_vs_Parental","SE","Ptprh","chr7","-",0.00229775904246734,-0.171
"Pos_vs_Parental","SE","Map3k12","chr15","-",0.0185884838429135,0.171
"Pos_vs_Parental","SE","Espn","chr4","-",0.0330518015657889,0.171
"Pos_vs_Parental","SE","Gsdmd","chr15","+",0.0407115057176928,-0.171
"Pos_vs_Parental","SE","Adgre5","chr8","-",0.0434580165481204,0.171
"Pos_vs_Parental","A5SS","Gm56850","chr8","-",0.000338447642091397,-0.17
"Pos_vs_Parental","RI","Rasal3","chr17","-",1.57362941196184e-09,0.17
"Pos_vs_Parental","RI","Timeless","chr10","+",0.0352763840279851,0.17
"Pos_vs_Parental","SE","Sapcd1","chr17","-",2.91428635610159e-12,-0.17
"Pos_vs_Parental","SE","Rnf112","chr11","-",0.000119537807668699,-0.17
"Pos_vs_Parental","SE","Grin1","chr2","-",0.000270769941800099,0.17
"Pos_vs_Parental","SE","Inpp4a","chr1","+",0.000369519441417414,0.17
"Pos_vs_Parental","SE","Naa16","chr14","-",0.000657760810194221,0.17
"Pos_vs_Parental","SE","Nudt13","chr14","+",0.00390357196961651,-0.17
"Pos_vs_Parental","SE","Ggcx","chr6","+",0.0137970121377719,0.17
"Pos_vs_Parental","A3SS","Cpsf4","chr5","+",9.24048490559218e-08,-0.169
"Pos_vs_Parental","A5SS","Gt(ROSA)26Sor","chr6","-",0.00319596620764752,0.169
"Pos_vs_Parental","MXE","Creb1","chr1","+",0.0258717639978251,0.169
"Pos_vs_Parental","RI","Uhrf1bp1l","chr10","+",4.61680445118056e-12,-0.169
"Pos_vs_Parental","RI","Atg16l2","chr7","-",2.08570828765604e-06,-0.169
"Pos_vs_Parental","RI","4833438C02Rik","chr19","-",0.00180959538444379,0.169
"Pos_vs_Parental","SE","Arfgap1","chr2","+",0,-0.169
"Pos_vs_Parental","SE","Spata5","chr3","+",1.31800644066821e-10,0.169
"Pos_vs_Parental","SE","D2hgdh","chr1","+",0.000129992332700237,-0.169
"Pos_vs_Parental","SE","Nudt13","chr14","+",0.000489402435509512,-0.169
"Pos_vs_Parental","SE","Camsap2","chr1","-",0.00188173296420614,0.169
"Pos_vs_Parental","SE","Terf2","chr8","-",0.00230181482453171,-0.169
"Pos_vs_Parental","SE","Rpl11","chr4","-",0.04888873059737,0.169
"Pos_vs_Parental","A3SS","Tedc1","chr12","+",7.364249116398e-06,-0.168
"Pos_vs_Parental","A3SS","Coq4","chr2","+",0.00835039916423738,-0.168
"Pos_vs_Parental","A3SS","Gm15564","chr16","-",0.038611589453055,-0.168
"Pos_vs_Parental","A5SS","Ythdc1","chr5","+",0,-0.168
"Pos_vs_Parental","A5SS","Ccdc30","chr4","-",0.00202473494354278,-0.168
"Pos_vs_Parental","RI","Tmem191","chr16","+",1.98688756048781e-07,0.168
"Pos_vs_Parental","RI","Hps1","chr19","-",1.95567447614796e-06,-0.168
"Pos_vs_Parental","RI","Lmtk3","chr7","+",1.34681155257881e-05,-0.168
"Pos_vs_Parental","SE","Puf60","chr15","-",0,0.168
"Pos_vs_Parental","SE","Golm2","chr2","+",0,-0.168
"Pos_vs_Parental","SE","Stox2","chr8","-",3.13897056497055e-14,0.168
"Pos_vs_Parental","SE","Tial1","chr7","-",6.01636024950569e-13,-0.168
"Pos_vs_Parental","SE","Uspl1","chr5","+",6.57461435114618e-09,-0.168
"Pos_vs_Parental","SE","Scrib","chr15","-",4.81136874308379e-07,-0.168
"Pos_vs_Parental","SE","Pnpla6","chr8","+",2.1272327525896e-06,-0.168
"Pos_vs_Parental","SE","Bin1","chr18","+",5.60443015233383e-05,-0.168
"Pos_vs_Parental","SE","Taf15","chr11","+",0.00254057639001563,-0.168
